"id","Completed","Last page seen","Start language","Date last action","Date started","What is your age? Input age in numbers.","What is your gender? Select option below.","What is the highest level of education you have completed?","[Other] What is the highest level of education you have completed?","Select country in which you live (where you have permanent current address).","[Other] Select country in which you live (where you have permanent current address).","From which region are you from?","Which year did you use 3D printing / printer the first time?","[Spare parts to devices] For what usage do you use 3D printing?","[Covers and such for devices] For what usage do you use 3D printing?","[Artistic items] For what usage do you use 3D printing?","[Visual aids] For what usage do you use 3D printing?","[Presentation models (including architectural models)] For what usage do you use 3D printing?","[Functional models] For what usage do you use 3D printing?","[used for pattern / in molds] For what usage do you use 3D printing?","[for research/educational purposes] For what usage do you use 3D printing?","[direct part production (custom, short run, series production)] For what usage do you use 3D printing?","[Furniture and household decoration ] For what usage do you use 3D printing?","[Other] For what usage do you use 3D printing?","[Metal (any)] What kind of material do you use (now and in past) in printing?","[Polymer (any)] What kind of material do you use (now and in past) in printing?","[Cement] What kind of material do you use (now and in past) in printing?","[Biomaterial] What kind of material do you use (now and in past) in printing?","[Silicon] What kind of material do you use (now and in past) in printing?","[Wood] What kind of material do you use (now and in past) in printing?","[None] What kind of material do you use (now and in past) in printing?","[Other] What kind of material do you use (now and in past) in printing?","[3D Systems] Which printers (which manufacturer) have you used?","[Arcam] Which printers (which manufacturer) have you used?","[BitsfromBytes] Which printers (which manufacturer) have you used?","[Blue Printer] Which printers (which manufacturer) have you used?","[Botmill] Which printers (which manufacturer) have you used?","[Dimension] Which printers (which manufacturer) have you used?","[EOS] Which printers (which manufacturer) have you used?","[ExOne] Which printers (which manufacturer) have you used?","[Fortus] Which printers (which manufacturer) have you used?","[MakerBot ] Which printers (which manufacturer) have you used?","[Makibot] Which printers (which manufacturer) have you used?","[Objet] Which printers (which manufacturer) have you used?","[Printrbot] Which printers (which manufacturer) have you used?","[RepRap project] Which printers (which manufacturer) have you used?","[Solidoodle] Which printers (which manufacturer) have you used?","[Solidscape & Envision Tec] Which printers (which manufacturer) have you used?","[Stratasys] Which printers (which manufacturer) have you used?","[UP!] Which printers (which manufacturer) have you used?","[Ultimaker] Which printers (which manufacturer) have you used?","[ZCorp] Which printers (which manufacturer) have you used?","[Other] Which printers (which manufacturer) have you used?","[3D Creation Lab] Which of the 3D printing services have you used?","[3dprintuk] Which of the 3D printing services have you used?","[3DProParts] Which of the 3D printing services have you used?","[Cubify Cloud Print] Which of the 3D printing services have you used?","[i.Materialise] Which of the 3D printing services have you used?","[Impression-3D] Which of the 3D printing services have you used?","[Kraftwurx.com] Which of the 3D printing services have you used?","[Ponoko] Which of the 3D printing services have you used?","[RedEye] Which of the 3D printing services have you used?","[Sculpteo] Which of the 3D printing services have you used?","[Shapeways] Which of the 3D printing services have you used?","[Solid Concepts] Which of the 3D printing services have you used?","[None] Which of the 3D printing services have you used?","[Other] Which of the 3D printing services have you used?","[I use 3D printing services to get professional quality printings] Following claims concern your motivation to use 3D printing services. Choose one option for each row (Likert scale: 1 = Strongly agree <-> 5 = Strongly disagree)","[To make money by selling models] Following claims concern your motivation to use 3D printing services. Choose one option for each row (Likert scale: 1 = Strongly agree <-> 5 = Strongly disagree)","[To test how these services work] Following claims concern your motivation to use 3D printing services. Choose one option for each row (Likert scale: 1 = Strongly agree <-> 5 = Strongly disagree)","[Services enable 3D model distribution easily] Following claims concern your motivation to use 3D printing services. Choose one option for each row (Likert scale: 1 = Strongly agree <-> 5 = Strongly disagree)","[To share my models] Following claims concern your motivation to use 3D printing services. Choose one option for each row (Likert scale: 1 = Strongly agree <-> 5 = Strongly disagree)","[To get feedback regarding my models] Following claims concern your motivation to use 3D printing services. Choose one option for each row (Likert scale: 1 = Strongly agree <-> 5 = Strongly disagree)","[To publish my 3D manufacturing related apps] Following claims concern your motivation to use 3D printing services. Choose one option for each row (Likert scale: 1 = Strongly agree <-> 5 = Strongly disagree)","[To download 3D manufacturing related apps] Following claims concern your motivation to use 3D printing services. Choose one option for each row (Likert scale: 1 = Strongly agree <-> 5 = Strongly disagree)","[To buy model or download free models] Following claims concern your motivation to use 3D printing services. Choose one option for each row (Likert scale: 1 = Strongly agree <-> 5 = Strongly disagree)","Have you been involved in free/open source software projects? If so in how many?","Are you or have you been a member of a hackerspace, fab lab or a similar group?","[Comment] Are you or have you been a member of a hackerspace, fab lab or a similar group?","Are you or have you been involved in projects of building, designing or improving physical objects?","Do you consider yourself a member of the so-called maker movement?","Do you consider your 3D activities a part of so-called peer production?","Is your work related to 3D printing or rapid manufacturing?","[Comment] Is your work related to 3D printing or rapid manufacturing?","Your involvement in 3D printing. Do you consider yourself:","[Other] Your involvement in 3D printing. Do you consider yourself:","[ I participate in 3D printing projects because of money.] What do you think of the following claims? Choose one option for each row (Likert scale: 1 = Strongly agree <-> 5 = Strongly disagree)","[I participate in 3D printing projects because I want to develop 3D printing tools and practices.] What do you think of the following claims? Choose one option for each row (Likert scale: 1 = Strongly agree <-> 5 = Strongly disagree)","[ I participate in 3D printing projects because I learn new skills.] What do you think of the following claims? Choose one option for each row (Likert scale: 1 = Strongly agree <-> 5 = Strongly disagree)","[ I participate in 3D printing projects because I like collaborative development] What do you think of the following claims? Choose one option for each row (Likert scale: 1 = Strongly agree <-> 5 = Strongly disagree)","[ I participate in 3D printing projects because I like to share my knowledge and skills with others.] What do you think of the following claims? Choose one option for each row (Likert scale: 1 = Strongly agree <-> 5 = Strongly disagree)","[I participate in 3D printing projects because I get more respect.] What do you think of the following claims? Choose one option for each row (Likert scale: 1 = Strongly agree <-> 5 = Strongly disagree)","[I participate 3D printing projects because it gives me better job opportunities in the future.] What do you think of the following claims? Choose one option for each row (Likert scale: 1 = Strongly agree <-> 5 = Strongly disagree)","[I participate in 3D printing projects because it is fun.] What do you think of the following claims? Choose one option for each row (Likert scale: 1 = Strongly agree <-> 5 = Strongly disagree)","[I participate in 3D printing projects because I want to help others.] What do you think of the following claims? Choose one option for each row (Likert scale: 1 = Strongly agree <-> 5 = Strongly disagree)","[3D printing projects are a way to express myself.] What do you think of the following claims? Choose one option for each row (Likert scale: 1 = Strongly agree <-> 5 = Strongly disagree)","[I do 3D printing because I think all software and hardware should be free.] What do you think of the following claims? Choose one option for each row (Likert scale: 1 = Strongly agree <-> 5 = Strongly disagree)","[I participate in 3D printing projects because I want to give back to the community.] What do you think of the following claims? Choose one option for each row (Likert scale: 1 = Strongly agree <-> 5 = Strongly disagree)","[I develop 3D printing because I need it for doing something else.] What do you think of the following claims? Choose one option for each row (Likert scale: 1 = Strongly agree <-> 5 = Strongly disagree)","[CDDL] If you develop 3D printing related software, which license do you prefer for your own code?","[Mozilla Public License] If you develop 3D printing related software, which license do you prefer for your own code?","[MIT] If you develop 3D printing related software, which license do you prefer for your own code?","[LGPL] If you develop 3D printing related software, which license do you prefer for your own code?","[BSD] If you develop 3D printing related software, which license do you prefer for your own code?","[Apache License] If you develop 3D printing related software, which license do you prefer for your own code?","[GPL] If you develop 3D printing related software, which license do you prefer for your own code?","[Creative Commons license] If you develop 3D printing related software, which license do you prefer for your own code?","[Other] If you develop 3D printing related software, which license do you prefer for your own code?","[CDDL] If you develop 3D printing related _hardware_, which license do you prefer for your own code?","[Mozilla Public License] If you develop 3D printing related _hardware_, which license do you prefer for your own code?","[MIT] If you develop 3D printing related _hardware_, which license do you prefer for your own code?","[LGPL] If you develop 3D printing related _hardware_, which license do you prefer for your own code?","[BSD] If you develop 3D printing related _hardware_, which license do you prefer for your own code?","[Apache License] If you develop 3D printing related _hardware_, which license do you prefer for your own code?","[GPL] If you develop 3D printing related _hardware_, which license do you prefer for your own code?","[Creative Commons license] If you develop 3D printing related _hardware_, which license do you prefer for your own code?","[Other] If you develop 3D printing related _hardware_, which license do you prefer for your own code?","What, in your opinion, is the greatest bottleneck for the development in 3D technology right now? - printers - materials - designs - social co-operation - internet infrastructure - other infrastructure","[Multicolored printing] What is the most wanted feature you are waiting for to develop further or to emerge? Please choose max 5.","[Metal material printing] What is the most wanted feature you are waiting for to develop further or to emerge? Please choose max 5.","[Glass material printing] What is the most wanted feature you are waiting for to develop further or to emerge? Please choose max 5.","[Speed] What is the most wanted feature you are waiting for to develop further or to emerge? Please choose max 5.","[Object quality ] What is the most wanted feature you are waiting for to develop further or to emerge? Please choose max 5.","[Ease of use] What is the most wanted feature you are waiting for to develop further or to emerge? Please choose max 5.","[Ethernet connected printers] What is the most wanted feature you are waiting for to develop further or to emerge? Please choose max 5.","[Better printer integration to CAD (or other similar) modeling software] What is the most wanted feature you are waiting for to develop further or to emerge? Please choose max 5.","[Cheaper printer price] What is the most wanted feature you are waiting for to develop further or to emerge? Please choose max 5.","[Cheaper material prices] What is the most wanted feature you are waiting for to develop further or to emerge? Please choose max 5.","[Other] What is the most wanted feature you are waiting for to develop further or to emerge? Please choose max 5."
"1","","","en","2013-07-31 14:22:52","2013-07-31 14:22:52","","","","","","","","","No","No","No","No","No","No","No","No","No","No","","No","No","No","No","No","No","No","","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","","No","No","No","No","No","No","No","No","No","No","No","No","No","","","","","","","","","","","","","","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","No","No","No","No","No","No","No","No","","No","No","No","No","No","No","No","No","","","No","No","No","No","No","No","No","No","No","No",""
"3","2013-07-31 20:56:25","4","en","2013-07-31 20:56:25","2013-07-31 20:52:32","32","Male","4-Year College Degree(BA,BS)","","BELGIUM","","Europe","2008","No","Yes","No","No","No","No","No","No","No","No","","Yes","Yes","No","No","No","No","No","","Yes","No","Yes","No","No","No","Yes","Yes","Yes","Yes","No","Yes","No","No","No","No","Yes","Yes","No","Yes","","No","No","No","No","Yes","No","No","No","No","No","Yes","No","No","","1","3","5","5","5","5","5","2","5","No, I haven't.","No","","No","Yes","No","Yes","","more like 'end user' of 3D printing (mostly use printing services like shapeways, ponoko and others)","","5","","","","","","","3","3","3","","","","No","No","No","No","No","No","No","No","","No","No","No","No","No","No","No","No","","material patents","No","No","No","No","No","No","No","No","No","Yes",""
"4","","","en","2013-08-01 08:23:04","2013-08-01 08:23:04","","","","","","","","","No","No","No","No","No","No","No","No","No","No","","No","No","No","No","No","No","No","","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","","No","No","No","No","No","No","No","No","No","No","No","No","No","","","","","","","","","","","","","","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","No","No","No","No","No","No","No","No","","No","No","No","No","No","No","No","No","","","No","No","No","No","No","No","No","No","No","No",""
"5","2013-08-01 09:21:58","4","en","2013-08-01 09:21:58","2013-08-01 09:10:57","31","Male","4-Year College Degree(BA,BS)","","SWITZERLAND","","Europe","2010","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Food Production","Yes","Yes","No","No","No","No","No","","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Rostock MAX","No","No","No","No","No","No","No","Yes","No","No","Yes","No","No","","2","2","3","2","2","4","3","3","3","In 5 projects or more","No answer","","Yes","Yes","Yes","Yes","","Other","Running ZORK Program","3","1","1","1","1","","","3","3","3","3","3","3","No","No","Yes","No","No","No","Yes","Yes","","No","No","Yes","No","No","No","No","Yes","CERN OPEN HARDWARE LICENCE","printers +

Spaces for a society aware of its global connectedness aswell as its local tradition and natural surrounding.
Because of its advantages in consumption of basic material, and energy, aswell as its visual appearance, we started to get interested in lightweight design. By combining craft with digital methods in design aswell as in production, the range of possibilities is increased exponentially.
To reduce grey energy, whenever possibel construction will be conducted with local, sustainable resources, cost and time are lowered to a minimum.","Yes","No","No","Yes","Yes","No","No","No","Yes","Yes",""
"6","2013-08-01 10:16:42","4","en","2013-08-01 10:16:42","2013-08-01 10:12:52","26","Female","Some College","","UNITED STATES","","North America","2013","No","No","Yes","No","No","Yes","No","No","No","Yes","","No","Yes","No","No","No","No","No","","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","","No","No","No","No","No","No","No","No","No","No","No","No","Yes","","","","","","","","","","","No, I haven't.","Yes. (Write name of the community in comment field. If member of multiple communities, choose one.)","Member of GRMakers in Grand Rapids MI","No","Yes","No","No","","more like developer of 3D printing solutions (not getting paid though)","","5","3","2","3","2","2","2","2","2","2","4","2","2","No","No","No","No","No","No","No","No","","No","No","No","No","No","No","No","No","","","Yes","No","No","No","No","No","No","No","Yes","No",""
"7","2013-08-01 12:17:08","4","en","2013-08-01 12:17:08","2013-08-01 12:12:13","25","Female","Master's Degree","","CANADA","","North America","2009","No","No","No","No","No","No","No","Yes","No","No","","No","Yes","No","No","No","No","No","","Yes","No","No","No","No","Yes","No","No","No","Yes","No","Yes","No","Yes","No","No","Yes","No","No","No","","No","No","No","No","No","No","No","No","No","No","No","No","Yes","","","","","","","","","","","In 3 projects","No","","Yes","No","Yes","Yes","","Other","Like a researcher of the sociotechnical impacts of 3D printing","1","2","1","2","2","1","2","3","2","1","3","2","1","No","No","No","No","No","No","No","No","","No","No","No","No","No","No","No","No","","","No","No","No","Yes","No","No","No","No","Yes","Yes",""
"8","2013-08-01 12:58:28","4","en","2013-08-01 12:58:28","2013-08-01 12:51:44","28","Male","High School/GED","","SWITZERLAND","","Europe","2012","Yes","Yes","Yes","No","No","Yes","No","No","No","Yes","","No","Yes","No","No","No","Yes","No","","No","No","No","No","No","No","No","No","No","Yes","No","No","Yes","Yes","Yes","No","No","No","Yes","No","","No","No","No","No","No","No","No","No","No","No","No","No","Yes","","","","","","","","","","","In 5 projects or more","Yes. (Write name of the community in comment field. If member of multiple communities, choose one.)","FIXME Hackerspace","Yes","Yes","Yes","No","","more like 'end user' of 3D printing (mostly use printing services like shapeways, ponoko and others)","","5","1","1","1","1","4","5","1","2","1","2","1","2","No","No","Yes","No","No","No","Yes","Yes","","No","No","Yes","No","No","No","Yes","No","OHL","Calibration of the printers is a non stop work.","Yes","No","No","Yes","Yes","No","No","No","No","No",""
"9","2013-08-01 13:43:09","4","en","2013-08-01 13:43:09","2013-08-01 13:37:11","35","Male","Master's Degree","","SWITZERLAND","","Europe","2011","Yes","Yes","Yes","No","Yes","Yes","No","Yes","Yes","No","special adapters","No","Yes","No","No","No","Yes","No","","Yes","No","Yes","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","Yes","No","","No","No","No","No","No","No","No","No","No","No","No","No","Yes","","","","","","","","","","","In 5 projects or more","Yes. (Write name of the community in comment field. If member of multiple communities, choose one.)","FabLab Switzerland","Yes","Yes","Yes","Yes, but only part of my work is related to the above","","more like developer of 3D printing solutions (not getting paid though)","","3","2","2","3","2","5","1","1","3","3","5","5","1","No","No","No","No","No","No","No","Yes","","No","No","No","No","No","No","No","Yes","","Maturity of hardware","Yes","Yes","No","Yes","Yes","Yes","No","No","No","No",""
"10","2013-08-01 15:29:50","4","en","2013-08-01 15:29:50","2013-08-01 15:24:41","30","Male","Some College","","UNITED STATES","","North America","2011","Yes","Yes","Yes","Yes","No","Yes","No","Yes","No","Yes","Yes.","No","Yes","No","No","No","No","No","","No","No","No","No","No","No","No","No","No","Yes","No","No","No","Yes","No","No","No","No","No","No","","No","No","No","No","No","No","No","No","No","No","No","No","Yes","","","","","","","","","","","In 2 projects","Yes. (Write name of the community in comment field. If member of multiple communities, choose one.)","Midsouth Makers
http://midsouthmakers.org","Yes","Yes","Yes","Yes","","more like paid developer of 3D printing solutions","","5","1","1","1","1","3","1","1","1","1","1","1","1","No","No","No","No","No","No","No","No","","No","No","No","No","No","No","Yes","No","","Current patents and the whole OMG PRINTED GUNS scare.","Yes","Yes","Yes","Yes","Yes","Yes","No","No","Yes","Yes",""
"11","2013-08-01 15:31:16","4","en","2013-08-01 15:31:16","2013-08-01 15:25:58","33","Male","Some College","","UNITED STATES","","North America","2011","No","No","Yes","No","No","Yes","No","Yes","No","No","","No","Yes","No","No","No","No","No","","No","No","No","No","No","No","No","No","No","Yes","No","No","No","Yes","No","No","No","No","No","No","","No","No","No","No","No","No","No","No","No","No","Yes","No","No","","2","5","3","3","3","3","3","3","3","No, I haven't but would like to be in future","Yes. (Write name of the community in comment field. If member of multiple communities, choose one.)","Lansing Makers Network","Yes","Yes","No","No","","more like developer of 3D printing solutions (not getting paid though)","","5","2","2","1","1","4","4","1","1","3","3","2","4","No","No","No","Yes","No","Yes","Yes","No","","No","No","No","No","No","No","No","No","","","Yes","No","No","Yes","Yes","Yes","No","No","No","No",""
